"Kvartal";"Strømstøtte";"Kraftpris";"Avgifter";"Nettleie"
"1. kvartal 2012";0;34.4;26.9;26.3
"2. kvartal 2012";0;26.1;25;26.3
"3. kvartal 2012";0;20;23.6;26.1
"4. kvartal 2012";0;30.4;26.3;26.4
"1. kvartal 2013";0;34.9;27.3;26.4
"2. kvartal 2013";0;34.6;27.1;26.4
"3. kvartal 2013";0;33.4;26.7;26.4
"4. kvartal 2013";0;35.6;27.3;26.4
"1. kvartal 2014";0;31.5;27.3;26
"2. kvartal 2014";0;26.6;26.3;26
"3. kvartal 2014";0;31.6;27.3;26
"4. kvartal 2014";0;31.7;27.4;26
"1. kvartal 2015";0;31.3;29.8;26.3
"2. kvartal 2015";0;26;28.7;26.3
"3. kvartal 2015";0;20;27.9;26
"4. kvartal 2015";0;25.9;29.2;26
"1. kvartal 2016";0;28.7;32.1;26.6
"2. kvartal 2016";0;28.8;32.3;27.3
"3. kvartal 2016";0;30.5;32.7;27.3
"4. kvartal 2016";0;37.6;34.9;27.9
"1. kvartal 2017";0;34.3;34.3;27.9
"2. kvartal 2017";0;33.1;33.9;27.9
"3. kvartal 2017";0;33.3;34;27.9
"4. kvartal 2017";0;36;34.5;27.9
"1. kvartal 2018";0;42.5;36;27.9
"2. kvartal 2018";0;44.6;36.8;28.9
"3. kvartal 2018";0;55.3;39.2;28.9
"4. kvartal 2018";0;54.8;39.2;29.4
"1. kvartal 2019";0;55.2;38.7;30.4
"2. kvartal 2019";0;45.6;36.6;30.4
"3. kvartal 2019";0;42.5;35.9;30.4
"4. kvartal 2019";0;46.8;36.6;28.9
"1. kvartal 2020";0;26.8;32.1;28.9
"2. kvartal 2020";0;14.9;29.8;28.1
"3. kvartal 2020";0;14.4;29.9;28.6
"4. kvartal 2020";0;22.2;31.6;28.6
"1. kvartal 2021";0;53.5;38.9;27.6
"2. kvartal 2021";0;50.9;38.3;26.9
"3. kvartal 2021";0;76.3;43.8;26.9
"4. kvartal 2021";-21.8;108.1;51;27.5
"1. kvartal 2022";-55.3;117.2;43.7;27.9
"2. kvartal 2022";-68;124.2;53.2;27.9
"3. kvartal 2022";-176.1;214.3;73.8;29.5
"4. kvartal 2022";-102.7;169.6;63.8;31.5
"1. kvartal 2023";-38.6;110.5;42.7;29.1
"2. kvartal 2023";-16.5;84.7;45.1;30.3
"3. kvartal 2023";-1;42.2;37;35.7
"4. kvartal 2023";-26.6;84.6;46.1;32.2
"1. kvartal 2024";-11.1;78.9;37;32.7
"2. kvartal 2024";-2.7;55.7;40.2;34.5
"3 kvartal 2024";-0.2;35.3;37;40.1
"4. kvartal 2024";-10.3;54.5;41.5;38.7
"1. kvartal 2025";-16.7;68.1;35.6;35.5
